Name,Meaning
Elvia,blonde.
Elvie,elf friend.
Elvin,noble friend.
Elvira,truth.
Elvis,all-wise.
Elwin,elf friend.
Elwood,from the old wood.
Ely,high.
Elyas,the Lord is my God.
Elyna,light.
Elyse,pledge.
Elyssa,from the blessed isles.
Elyza,God's oath.
Elzbieta,God is my oath.
Ema,beloved.
Eman,faith.
Emanuel,God is with us.
Ember,spark or coal.
Embla,elm tree.
Emelda,emerald.
Emeline,hardworking.
Emer,swift.
Emerald,precious green gem.
Emeric,power.
Emerson,son of Emery.
Emery,brave and powerful.
Emi,blessed and beautiful.
Emidio,half-god.
Emil,rival.
Emile,striving.
Emilia,rival or eager.
Emiliano,rival.
Emilie,ambitious.
Emilio,industrious.
Emily,hardworking.
Emina,trustworthy.
Emine,confident.
Emira,princess.
Emlyn,waterfall.
Emma,universal or whole.
Emmanuel,God is with us.
Emmeline,industrious.
Emmet,universal.
Emmett,truth or hard worker.
Emmie,whole.
Emmy,universal.
Emory,brave ruler.
Emre,friend.
Emrys,immortal.
Emy,universal.
Ena,passionate.
Enam,gift.
Enan,cloud.
Enda,bird-like.
Endora,fountain.
Endre,manly.
Enea,ninth.
Eneas,praised.
Enid,soul or spirit.
Ennis,island.
Ennoch,dedicated.
Enoc,dedicated.
Enoch,experienced.
Enoka,dedicated.
Enora,honor.
Enos,mankind.
Enrico,home ruler.
Enrique,king of the home.
Enver,bright.
Enzo,winner or home ruler.
Eoin,God is gracious.
Eos,dawn.
Ephraim,fruitful.
Ephram,productive.
Eppie,well-spoken.
Eran,vigilant.
Erasmus,beloved.
Erastus,beloved.
Erazem,lovely.
Erc,speckled.
Ercole,glory of Hera.
Erdem,virtue.
Eren,holy person.
Erez,cedar tree.
Erhard,honor and bravery.
Eric,eternal ruler.
Erica,noble ruler.
Erich,ruler.
Erick,everlasting ruler.
Ericka,noble queen.
Erik,eternal king.
Erika,honorable ruler.
Erin,from Ireland.
Eris,goddess of strife.
Erish,to master.
Erland,foreigner's land.
Erling,descendant of noble.
Erma,universal.
Ermanno,army man.
Ermin,whole.
Ernest,serious or determined.
Ernesto,earnest.
Ernie,serious.
Erno,determined.
Errol,nobleman.
Erskine,top of cliff.
Ervin,sea friend.
Erwan,yew tree.
Erwin,respected friend.
Eryka,everlasting.
Eryk,eternal.
Eryn,from Ireland.
Esa,God is salvation.
Esai,God is salvation.
Esau,hairy.
Esben,divine bear.
Esha,desire.
Eshan,desirable.
Eshani,Goddess Parvati.
Eshwar,Lord Shiva.
Eshwin,winner.
Esidor,gift.
Eskil,divine cauldron.
Esma,esteemed or beloved.
Esme,esteemed.
Esmeralda,emerald stone.
Esmond,gracious protector.
Espen,god bear.
Esperanza,hope.
Espiritu,spirit.
Essa,salvation.
Essie,star.
Esteban,crowned with laurel.
Estee,star.
Estefan,crown.
Estefania,crowned.
Estel,hope.
Estela,star.
Estella,star.
Estelle,shining star.
Ester,star.
Esteva,crowned.
Esther,star or hidden.
Estrela,star.
Estrid,god and beautiful.
Esyllt,fair.
Eszter,star.
Etana,strong.
Etel,noble.
Eteri,ether.
Ethan,strong and enduring.
Ethel,noble.
Etheline,noble.
Ethelyn,noble.
Etienne,crowned one.
Etta,ruler of the home.
Eudora,good gift.
Eugene,well-born.
Eugenia,noble birth.
Eugenio,noble.
Eulalia,well-spoken.
Euna,fair.
Eunice,good victory.
Euphemia,fair speech.
Eura,wide.
Eustace,fruitful.
Eva,life-giver.
Evadne,pleasing one.
Evan,God is gracious.
Evander,good man.
Evangeline,bearer of good news.
Evania,peaceful.
Evanna,God is gracious.
Evanthe,flower.
Evarist,pleasing.
Eve,life.
Evelina,life or light.
Eveline,hazelnut.
Evelyn,wished-for child.
Ever,always.
Everard,brave boar.
Everest,highest peak.
Everett,brave as a boar.
Everley,boar meadow.
Everly,from the boar meadow.
Evette,living one.
Evie,life.
Evita,little life.
Evon,yew wood.
Evony,yew.
Evora,yew.
Evrard,brave.
Evren,universe.
Ewan,born of the yew tree.
Ewart,river protector.
Ewen,well-born.
Ewing,friend of the law.
Exie,well-spoken.
Eyal,strength.
Eydie,prosperous.
Eyla,moonlight.
Eyo,rejoice.
Eyoub,penitent.
Eyra,snow.
Eytan,strong.
Ezekiel,God will strengthen.
Ezel,eternity.
Ezio,eagle.
Ezra,helper.
Ezrae,help.
Ezrah,help.
Ezrailee,helper.
Ezrell,God is my help.

Fabian,bean grower.
Fabiana,daughter of Fabio.
Fabienne,noblewoman.
Fabio,noble.
Fabiola,lovely flower.
Fabrizio,craftsman.
Fadi,savior.
Fadia,redeemer.
Fadil,generous.
Fadila,virtuous.
Faeryn,from the fairies.
Fahad,lynx or panther.
Fahim,intelligent.
Fahima,learned.
Fahri,honorary.
Faiga,bird.
Fairly,bull meadow.
Fairouz,turquoise.
Faith,devotion and trust.
Faiz,victorious.
Faiza,successful.
Fajr,dawn.
Fakhri,honorary.
Falani,faithful.
Falcon,bird of prey.
Falguni,beautiful.
Faline,cat-like.
Fallon,leader or superior.
Fancy,imagination.
Fannie,free.
Fanny,free woman.
Farah,joy or cheerfulness.
Faraj,relief.
Fardeen,radiant.
Fareed,unique.
Farhan,happy.
Farhana,cheerful.
Farid,unique.
Farida,matchless.
Fariha,happiness.
Farin,adventurous.
Farley,fern meadow.
Farlow,fern hill.
Farnaz,splendid grace.
Farnell,fern slope.
Faro,lighthouse.
Farquhar,friendly man.
Farrah,beautiful.
Farrell,brave.
Farris,iron-strong.
Farron,adventurous.
Faruk,truth-teller.
Farun,fair.
Faryal,angel.
Fate,destiny.
Fatima,captivating.
Fauna,young deer.
Faust,lucky.
Fausta,fortunate.
Faustine,lucky.
Fausto,blessed.
Faviola,bean grower.
Fawn,young deer.
Fawna,little deer.
Fawny,deer-like.
Fawwaz,winner.
Fay,fairy or elf.
Faye,confidence or trust.
Fayiz,victorious.
Faylinn,fairy kingdom.
Fayola,lucky.
Faysal,decisive.
Fayth,loyalty.
Fazio,worker.
Fearghal,brave man.
Fearne,fern plant.
Federico,peaceful ruler.
Fedor,God's gift.
Fedora,divine gift.
Feechi,worship God.
Feivel,bright one.
Felice,lucky.
Felicia,happy.
Felicity,good fortune.
Felipe,lover of horses.
Felix,lucky and successful.
Feliz,happy.
Felton,town by the field.
Fen,marshland.
Fenn,marsh.
Fenella,white-shouldered.
Fenton,marsh town.
Feodor,gift of God.
Feranmi,God loves me.
Ferdinand,bold voyager.
Fergie,strong one.
Fergus,man of force.
Fern,green plant.
Fernanda,adventurous.
Fernando,daring traveler.
Feroz,victorious.
Ferran,iron.
Ferris,man of iron.
Ffion,foxglove.
Fia,wild or weaver.
Fiacre,raven.
Fiammetta,little flame.
Fianna,warrior.
Fidela,faithful.
Fidelia,loyal.
Fidelis,faithful.
Fidell,faithful.
Field,meadow.
Fielding,lives in a field.
Fife,from Scotland.
Fifi,God increases.
Figaro,barber.
Fikri,thoughtful.
Filbert,very bright.
Filip,horse lover.
Filippo,horse friend.
Fillan,little wolf.
Filomena,friend of strength.
Finan,little fair one.
Finbar,fair-haired.
Finian,fair.
Finlay,fair warrior.
Finley,fair hero.
Finn,fair or white.
Finna,fair.
Finnegan,fair-haired.
Finnian,fair.
Finnick,marshland farm.
Finnley,fair warrior.
Fintan,white fire.
Fiona,fair and white.
Fionn,fair.
Fionna,fair woman.
Fionnlagh,fair hero.
Fionnuala,white shoulders.
Fiorenza,flower.
Firas,perspicacious.
Firdos,paradise.
Firoz,triumphant.
Fisk,fisherman.
Fito,noble.
Fitz,son of.
Fitzgerald,son of Gerald.
Fitzhugh,son of Hugh.
Fitzpatrick,son of Patrick.
Fitzroy,son of the king.
Flan,red.
Flann,ruddy.
Flannery,red eyebrows.
Flavia,golden.
Flavian,yellow.
Flavio,blond.
Fletcher,arrow maker.
Fleur,flower.
Fleurette,little flower.
Flex,flexible.
Flint,hard stone.
Flo,flourishing.
Flora,goddess of flowers.
Florence,flourishing.
Florencia,blooming.
Florent,blooming.
Floret,little flower.
Florian,flowering.
Florida,flowery.
Florrie,flower.
Flossie,blooming.
Flower,blossom.
Floyd,gray-haired.
Flynn,son of the red-haired.
Foard,river crossing.
Fola,honor.
Foley,pirate.
Folke,people's guardian.
Fonda,profound.
Fontaine,fountain.
Forbes,field.
Ford,river crossing.
Forest,woodsman.
Forester,guardian of the forest.
Forrest,of the woods.
Fortuna,luck.
Fortune,good luck.
Foster,woodsman.
Foteini,bright.
Fouad,heart.
Fowler,bird catcher.
Fox,wild animal.
Fran,free.
Frances,free woman.
Francesca,from France.
Francesco,free man.
Francia,from France.
Francine,free.
Francis,free man.
Francisco,free.
Franco,free.
Francois,free.
Frank,honest or free.
Frankie,free.
Franklin,free landowner.
Franklyn,free man.
Franny,free.
Fraser,strawberry.
Frazer,of the forest.
Frazier,strawberry.
Fred,peaceful ruler.
Freda,peaceful.
Freddie,peaceful ruler.
Freddy,peace.
Frederic,peaceful ruler.
Frederick,calm leader.
Frederica,peaceful.
Frederico,peaceful leader.
Fredra,peace.
Fredrick,calm ruler.
Free,independent.
Freeland,from the free land.
Freeman,free man.
Freja,noble lady.
Fremont,noble protector.
French,from France.
Frewin,noble friend.
Freya,noble lady.
Freyda,joy.
Freydis,noble woman.
Freyja,goddess of love.
Frida,peace.
Fridley,peaceful meadow.
Frieda,peaceful.
Friedrich,peaceful ruler.
Frig,beloved.
Fritzi,peaceful ruler.
Frode,wise.
Fronie,well-spoken.
Frost,winter-born.
Fry,free.
Fu,wealthy.
Fuad,heart.
Fuller,cloth worker.
Fulton,bird town.
Fumio,scholarly child.
Furey,fiery.
Fyfe,from Fife.
Fyodor,God's gift.

Gabal,mountain.
Gabe,God is my strength.
Gabi,heroine of God.
Gabriel,God is my strength.
Gabriela,God is my strength.
Gabrielle,woman of God.
Gada,lucky.
Gadar,peak.
Gael,joyful or stranger.
Gaetan,from Gaeta.
Gagan,sky or heavens.
Gage,pledge or measure.
Gaius,rejoicer.
Gala,singer.
Gale,cheerful or sea storm.
Galen,calm and peaceful.
Galina,bright or calm.
Gallagher,foreign helper.
Galloway,stranger.
Galvin,sparrow.
Gamal,camel.
Ganesh,lord of the multitude.
Gannon,fair-skinned.
Ganya,garden of God.
Gareth,gentle or kind.
Garfield,triangular field.
Garret,spear strength.
Garrett,brave spearman.
Garrison,fortress or troop.
Garry,spear ruler.
Garth,garden keeper.
Garuda,king of birds.
Garv,pride.
Gary,spear carrier.
Gaurav,honor and pride.
Gautam,dispeller of darkness.
Gavin,white hawk.
Gaya,earth.
Gayatri,mother of Vedas.
Gayle,living joy.
Geary,changeable.
giji,earth worker or maid.
Geda,lucky.
Geena,silvery or noble.
Geeta,holy book.
Gemma,precious stone.
Gene,well-born.
Genesis,beginning or origin.
Genevieve,woman of the people.
Geoffrey,peace of God.
George,farmer or earth worker.
Georgia,farmer.
Georgina,tiller of the soil.
Gerald,ruler of the spear.
Geraldine,spear ruler.
Gerard,brave spear.
Gerardo,strong spear.
Geri,spear ruler.
Germain,brother or from Germany.
Geronimo,sacred name.
Gerry,spear ruler.
Gertrude,spear of strength.
Gia,God is gracious.
Giacomo,supplanter.
Gian,God is gracious.
Gianna,God is gracious.
Gianni,God is gracious.
Gibson,son of Gilbert.
Gideon,mighty warrior.
Giedre,clear or serene.
Gigi,earth worker or maid.
Gilbert,bright pledge.
Gilda,golden or sacrifice.
Giles,young goat.
Gillian,youthful.
Gina,queen or garden.
Ging,gold.
Ginger,pure or spicy.
Gino,noble or well-born.
Ginton,garden.
Gio,God is gracious.
Giorgio,farmer.
Giovanna,God is gracious.
Giovanni,God is gracious.
Gisela,pledge.
Giselle,bright pledge.
Gita,song.
Gitanjali,offering of songs.
Gittel,good.
Giulia,youthful.
Giuseppe,God will increase.
Giva,hill.
Gladys,country or princess.
Glen,from the valley.
Glenda,pure and good.
Glenn,mountain valley.
Glenna,valley dweller.
Gloria,glory.
Gloriana,golden.
Glover,glove maker.
Glyn,valley.
Glynis,valley.
Gobind,cow finder.
Godfrey,God's peace.
Godric,God's ruler.
Godwin,friend of God.
Golda,gold.
Goldie,made of gold.
Goliath,exile.
Gomer,complete.
Gonzalo,saved from battle.
Gopal,cowherd.
Gordon,great hill.
Gordy,spacious.
Gorgi,farmer.
Gorman,small blue-eyed one.
Goutam,best ox.
Govind,lord of cows.
Gowri,bright or white.
Grace,decency and charm.
Gracia,grace.
Gracie,favor or blessing.
Grady,noble or illustrious.
Graeme,gravelly homestead.
Graham,gray home.
Granger,farmer.
Grant,great or tall.
Granville,large town.
Gray,gray-haired.
Grayson,son of the steward.
Greer,watchful or guardian.
Greg,watchman.
Gregg,alert.
Gregory,watchful and alert.
Greta,pearl.
Gretchen,little pearl.
Gretel,pearl.
Grey,gray-haired.
Griffin,mythical beast.
Griselda,gray battle.
Grover,grove dweller.
Guadalupe,river of the wolf.
Gudrun,god's secret.
Guenevere,white shadow.
Guido,forest guide.
Guillaume,resolute protector.
Guillermo,determined guardian.
Guinevere,fair one.
Gully,stream.
Gung,bright.
Gunnar,bold warrior.
Gunner,bold in battle.
Gunther,battle army.
Gurbachan,word of the guru.
Gurdev,divine teacher.
Gurnam,name of the guru.
Gurpreet,love of the guru.
Gus,majestic.
Gustaf,staff of the gods.
Gustav,royal staff.
Gustavo,noble staff.
Guthrie,windy place.
Guy,leader or woodsman.
Gwen,white or holy.
Gwendolyn,white ring.
Gwyn,fair or blessed.
Gwyneth,happiness.
Gypsy,wanderer.

Haadiya,guide to righteousness.
Haan,cock or rooster.
Haaris,planter or guardian.
Habib,beloved.
Habiba,beloved.
Hachiro,eighth son.
Hadassah,myrtle tree.
Hadi,guide or leader.
Hadlee,heather field.
Hadley,heather meadow.
Hadrian,dark one.
Hafsa,young lioness.
Hafiz,guardian or keeper.
Hagan,strong protector.
Hagar,flight or stranger.
Haider,lion.
Haig,from the enclosed field.
Hailey,hay meadow.
Haines,from the hedged enclosure.
Hakan,emperor or ruler.
Hakeem,wise or learned.
Hakim,judicious.
Hakon,high son.
Hal,army ruler.
Hala,glory or halo.
Halbert,bright stone.
Halcyon,calm and peaceful.
Halden,half-Danish.
Hale,healthy and strong.
Halen,from the hall.
Haley,ingenious.
Hali,the sea.
Halim,gentle or patient.
Halima,gentle.
Hall,from the manor house.
Halla,unexpected gift.
Halle,rock or hall.
Hallie,thinking of home.
Hallie,hay meadow.
Halsey,hallowed island.
Halston,holy stone.
Ham,hot or sun-burnt.
Hamad,praising.
Hamid,praiseworthy.
Hamish,supplanter.
Hamilton,crooked hill.
Hamlet,little village.
Hamlin,little home lover.
Hammet,village.
Hamza,strong or steadfast.
Han,gracious.
Hana,flower or blossom.
Hanan,mercy or grace.
Hancock,high cock.
Handel,God is gracious.
Hanley,high meadow.
Hanna,grace.
Hannah,favor or grace.
Hannelore,God is my light.
Hannes,God is gracious.
Hanno,God is gracious.
Hans,God is gracious.
Hansel,gift from God.
Hao,good or clever.
Hara,seizer or Lord Shiva.
Harald,army ruler.
Hardy,bold and brave.
Harel,mountain of God.
Harlan,rocky land.
Harland,army land.
Harlem,home on the water.
Harley,hare's meadow.
Harlow,army hill.
Harman,soldier.
Harmon,warrior.
Harmony,concord or agreement.
Harold,leader of the army.
Harper,harp player.
Harrell,mountain of God.
Harriet,home ruler.
Harris,son of Harry.
Harrison,son of Harry.
Harry,estate ruler.
harshal,prosperity.
harshvardhan,joyful.
Harshad,giver of joy.
Harshit,joyous or happy.
Hart,stag or deer.
hritik,joyful.
Hartley,deer meadow.
Hartwell,deer spring.
Haru,springtime.
Haruki,shining sun.
Haruko,spring child.
Harun,exalted.
Harvey,battle worthy.
Hasan,handsome or good.
Hasina,good or beautiful.
Hasit,happy or laughing.
Hasmik,jasmine.
Hassan,handsome.
Hassie,star.
Hattie,ruler of the home.
Hauke,mind or spirit.
Hava,life or living.
Haven,place of safety.
Havilah,stretch of sand.
Hawk,bird of prey.
Hawley,hedged meadow.
Hawthorn,thorny bush.
Hayden,hedged valley.
Hayes,from the hedged place.
Haylee,hay clearing.
Hayley,hay meadow.
Hayward,guardian of the hedge.
Haywood,hedged forest.
Hazel,hazelnut tree.
Hazeline,hazelnut.
Hazelle,commander.
Hebe,youth.
Heber,enclave or partner.
Hector,steadfast.
Heda,warfare.
Hedda,battle or strife.
Hedi,sweet.
Hedley,heather clearing.
Hedwig,war.
Hedy,delightful.
Heidi,noble and kind.
Heidy,noble birth.
Heike,home ruler.
Heinrich,home ruler.
Heinz,home ruler.
Heir,successor.
Helder,clear.
Helen,shining light.
Helena,bright one.
Helene,torch or light.
Helga,holy or blessed.
Helge,holy.
Helia,sun.
Helina,shining light.
Helio,sun.
Heliotrope,turns to the sun.
Helladius,of Greece.
Hellen,bright.
Heller,bright.
Helma,protector.
Helmer,warrior's fury.
Helmut,courageous protector.
Heloise,famous warrior.
Helsa,pledged to God.
Heman,faithful.
Hemant,winter.
Hemi,supplanter.
Hemma,universal.
Hendel,grace.
Henderson,son of Henry.
Hendrick,home ruler.
Hendricks,ruler of the home.
Hendrix,son of Henry.
Heng,constant.
Henley,high meadow.
Hennie,home ruler.
Henny,ruler of the home.
Henri,home ruler.
Henrietta,keeper of the hearth.
Henriette,home ruler.
Henrik,home ruler.
Henry,ruler of the home.
Hepzibah,my delight is in her.
Hera,queen of gods.
Herald,messenger.
Herb,bright army.
Herbert,illustrious warrior.
Herbie,bright army.
Hercules,glory of Hera.
Heribert,bright army.
Herman,army man.
Hermione,messenger or earthly.
Hermon,sacred.
Hernan,bold voyager.
Hernando,daring traveler.
Herrick,army ruler.
Herschel,deer.
Herve,battle worthy.
Hesper,evening star.
Hester,star.
Hestia,goddess of the hearth.
Hew,heart or mind.
Hewitt,little Hugh.
Hiba,gift.
Hideko,splendid child.
Hideo,splendid man.
Hieronymus,sacred name.
Higgins,son of Hugh.
Hijiri,saint.
Hikari,light.
Hikaru,radiance.
Hilaire,cheerful.
Hilaria,happy.
Hilarion,cheerful.
Hilary,cheerful or merry.
Hilda,battle maid.
Hilde,war.
Hildegard,battle stronghold.
Hildred,battle counselor.
Hildur,battle.
Hilel,praise.
Hill,from the hill.
Hillary,cheerful.
Hilliard,battle guardian.
Hillie,cheerful.
Hilly,from the hill.
Hilton,town on a hill.
Himesh,king of snow.
Hinata,sunny place.
Hinda,deer.
Hiram,exalted brother.
Hiro,generous.
Hiroko,generous child.
Hiroshi,generous or prosperous.
Hiroyuki,great journey.
Hirsch,deer.
Hisha,desire.
Hitansh,well-wisher.
Hitesh,lord of goodness.
Hitoshi,level or motivated.
Hiva,song.
Hjalmar,helmet warrior.
Ho,good.
Hoang,phoenix.
Hobart,bright mind.
Hobert,bright heart.
Hodge,fame or spear.
Hodges,son of Roger.
Hogan,youth.
Holden,from the hollow valley.
Hollace,holy.
Holley,holy.
Hollie,holy tree.
Hollis,from the holly trees.
Holly,shrub with red berries.
Hollyann,holy grace.
Holman,man from the valley.
Holmes,islands.
Holt,from the forest.
Homer,pledge or hostage.
Honey,sweet.
Honora,honor.
Honorata,honored.
Honore,honor.
Honoria,honor.
Honour,virtue.
Hood,hat maker.
Hope,expectation or desire.
Hopkin,little Robert.
Horace,timekeeper or hourly.
Horacio,of the hours.
Horatio,timekeeper.
Hormuz,spirit of wisdom.
Hortense,gardener.
Hortensia,of the garden.
Horton,gray town.
Hosea,salvation.
Hoshi,star.
Hoshiko,star child.
Hosni,handsome.
Hotaru,firefly.
Hou,nobleman.
Houghton,settlement on a hill.
Houston,settlement on a hill.
Howard,heart brave or high guard.
Howe,hill.
Howell,eminent.
Howie,high guardian.
Hoyt,stick or high.
Hrayr,fire man.
Hristina,follower of Christ.
Hrolf,famous wolf.
Huba,bright.
Hubert,bright mind.
Hubertine,bright heart.
Huck,sweet.
Hudson,son of Hud.
Huey,heart or spirit.
Huff,high.
Hugh,mind or intellect.
Hughes,son of Hugh.
Hugo,intellect or mind.
Hulda,sweet or lovable.
Humbert,bright giant.
Humphrey,peaceful warrior.
Hung,brave or hero.
Hunt,hunter.
Hunter,one who hunts.
Huntington,hunter's town.
Huntley,hunter's meadow.
Huon,heart.
Hurley,sea tide.
Hurst,wooded hill.
Husain,handsome.
Husham,generous.
Hussein,little handsome one.
Hutch,heart.
Huxley,Hugh's meadow.
Huy,glorious.
Hy,vitality.
Hyacinth,purple flower.
Hyatt,high gate.
Hyde,hide of land.
Hylton,hill town.
Hyman,life.
Hyun,virtuous.
Hyun-Ki,wisdom.
Hyun-Su,long life.

Ian,God is gracious.
Iara,water lady.
Ibad,devout worshipper.
Ibbie,pledged to God.
Ibrahim,father of nations.
Ibtisam,smiling.
Icarus,follower.
Ida,industrious and hardworking.
Idalia,behold the sun.
Idan,era or time.
Idina,gentle.
Idris,interpreter or studious.
Idunn,active in love.
Iestyn,just and righteous.
Ife,love.
Ige,born feet first.
Ignacio,fiery.
Ignatius,born from fire.
Igor,warrior of peace.
Ihara,luck.
Ihsan,kindness or excellence.
Iida,hardworking.
Iina,fair.
Iiris,rainbow.
Ike,he will laugh.
Iker,visitation.
Ila,earth or speech.
Ilan,tree.
Ilana,oak tree.
Ilaria,cheerful.
Ilario,happy.
Ilda,battle.
Ilea,light.
Ileen,bright one.
Ilena,torch.
Ilene,shining.
Iliya,the Lord is my God.
Ilka,bright.
Illa,earth.
Illiana,shining.
Ilona,beautiful or light.
Ilsa,pledged to God.
Ilse,noble.
Ilya,Jehovah is God.
Ilyas,exalted.
Ilyssa,noble.
Ima,now or present.
Imad,pillar or support.
Iman,faith or belief.
Imani,faith.
Imelda,universal battle.
Immanuel,God is with us.
Imogen,maiden or daughter.
Imogene,innocent child.
Imre,power.
Imtiaz,distinction.
Imu,strength.
Ina,home or mother.
Inaki,fiery.
Inara,shining light.
Inaya,gift of God or concern.
Inder,lord of gods.
India,from the Indus river.
Indigo,deep blue dye.
Indira,splendid or beauty.
Indra,possessing drops of rain.
Indu,moon.
Indy,independent.
Ines,pure or chaste.
Inez,holy.
Inga,ancestor.
Ingmar,famous son.
Ingram,raven.
Ingrid,beautiful goddess.
Inigo,fiery.
Inka,foremost.
Innes,island.
Innis,from the island.
Ino,queen.
Io,violet.
Ioan,God is gracious.
Iolanthe,violet flower.
Iona,blessed or purple jewel.
Ione,violet stone.
Iosif,God will increase.
Ira,watchful or vigilant.
Irad,wild ass.
Iram,shining.
Iravan,ocean.
Iravat,cloud.
Irena,peace.
Irene,messenger of peace.
Irfan,knowledge or gratitude.
Iri,bright.
Iria,rainbow.
Iris,rainbow goddess.
Irit,asphodel flower.
Irma,universal.
Irmak,river.
Irvin,fresh water.
Irvine,handsome.
Irving,sea friend.
Isa,salvation or Jesus.
Isaac,laughter.
Isabel,pledged to God.
Isabella,devoted to God.
Isabelle,God is my oath.
Isadora,gift of Isis.
Isai,God is salvation.
Isaiah,God is salvation.
Isam,protection.
Isar,eminent.
Iscah,to behold.
Isha,protectress or lord.
Ishaan,lord of wealth.
Isham,from the iron meadow.
Ishani,desire.
Ishant,morning.
Ishat,superior.
Ishmael,God will hear.
Ishwar,supreme lord.
Isidore,gift of the sun.
ishwari,prosperity; wealth (Sanskrit)
Isis,throne.
Isla,island.
Ismael,God hears.
Ismet,purity.
islam,faith.
Isolde,ice ruler.
Isra,night journey.
Israel,wrestles with God.
Issac,laughter.
Issy,pledged to God.
Istvan,crown.
Ita,thirsty.
Italo,from Italy.
Itamar,palm island.
Itish,lord.
Iva,willow tree.
Ivan,God is gracious.
Ivana,gift of God.
Ivanna,God is gracious.
Ivar,bow warrior.
Ive,yew tree.
Ivers,bowman.
Iverson,son of Ivar.
Ives,yew.
Iveta,yew wood.
Ivette,little yew.
Ivey,climbing plant.
Ivo,yew wood.
Ivon,yew.
Ivonne,yew.
Ivory,white and pure.
Ivy,faithfulness or vine.
Iwan,God is gracious.
Ixa,visit.
Iyad,support.
Iyanna,gracious.
Iyari,heart.
Iyla,moonlight.
Iyo,joyous.
Iza,God is my oath.
Izaac,laughter.
Izaiah,salvation.
Izak,he laughs.
Izara,section.
Izabela,pledged to God.
Izidora,gift.
Izmael,God listens.
Izola,island.
Izora,dawn.
Izreal,prince of God.
Izumi,fountain or spring.
Izzy,shining star.
ishika,one who is like a diamond.

Jaan,life or soul.
Jace,healer.
Jack,God is gracious.
Jackie,supplanter.
Jackson,son of Jack.
Jacob,supplanter.
Jacqueline,may God protect.
Jade,precious stone.
Jaden,God has heard.
jagruti,awakening.
Jagdish,lord of the world.
Jago,supplanter.
Jai,victory or triumph.
Jaiden,thankful.
Jaime,may God protect.
Jair,he shines.
Jairo,God enlightens.
Jakob,supplanter.
Jala,clarity or water.
Jalen,calm or serene.
Jalpa,discussion.
Jamal,beauty.
James,supplanter.
Jameson,son of James.
Jamie,supplanter.
Jamin,right hand of favor.
Jamir,handsome prince.
Jamison,son of James.
Jan,God is gracious.
Jana,God is gracious.
Janae,God has answered.
Janardhan,one who helps people.
Jane,God is gracious.
Janelle,God is gracious.
Janet,God’s gift.
Janhavi,river Ganga.
Jania,God is gracious.
Janice,God is gracious.
Janine,God is gracious.
Janish,lord of men.
Janiya,beloved.
Jansen,son of Jan.
Jantz,God is gracious.
January,born in the first month.
Janvi,precious to heart.
Japesh,lord of prayers.
Jarah,honeycomb.
Jardena,to flow down.
Jared,descent.
Jarek,strong and alert.
Jarem,appointed by God.
Jareth,bled by God.
Jarman,German.
Jarmon,harmonious.
Jarod,he who descends.
Jaron,to sing or shout.
Jarred,descendant.
Jarrell,mighty with a spear.
Jarrett,spear brave.
Jarvis,spear driver.
Jasdeep,lamp of glories.
Jase,healer.
Jasiah,God heals.
Jasleen,absorbed in praise.
Jaslyn,beautifull.
Jasmeet,famous friend.
Jasmin,fragrant flower.
Jasmine,gift from God.
Jason,healer.
Jasper,treasurer.
Jatin,disciplined.
Javan,from Greece.
Javeria,spreader of happiness.
Javier,bright.
Javion,healer.
Jawahar,gem.
Jax,son of Jack.
Jaxon,son of Jack.
Jaxson,son of Jack.
Jay,victory or blue jay.
Jaya,victory.
Jayant,victorious.
Jayce,healer.
Jaycee,happy.
Jayden,thankful.
Jayesh,victorious lord.
Jayla,special.
Jaylee,blue jay meadow.
Jaylen,tranquil.
Jaylin,calm.
Jaylon,healer.
Jayma,supplanter.
Jayme,supplanter.
Jaymes,supplanter.
Jayna,gracious.
Jayne,God is gracious.
Jayson,healer.
Jayvion,healer.
Jean,God is gracious.
Jeanette,God is gracious.
Jeanine,God is gracious.
Jeanne,God is gracious.
Jeb,beloved of the Lord.
Jebediah,beloved of God.
Jed,beloved of the Lord.
Jediah,hand of God.
Jedidiah,beloved of the Lord.
Jeevan,life.
Jeff,peace of God.
Jefferson,son of Jeffrey.
Jeffrey,God's peace.
Jeffry,peace of God.
Jela,father was in pain.
Jelani,mighty.
Jem,appointed by God.
Jemma,precious stone.
Jemuel,day of God.
Jen,fair and yielding.
Jena,little bird.
Jenelle,fair and smooth.
Jenessa,God is gracious.
Jenna,white wave.
Jennifer,fair one.
Jenny,fair and yielding.
Jens,God is gracious.
Jensen,son of Johannes.
Jenson,son of Johannes.
Jerald,spear ruler.
Jeramiah,God is exalted.
Jeramy,exalted by God.
Jerard,brave with spear.
Jeremiah,exalted by the Lord.
Jeremy,God will uplift.
Jeri,spear ruler.
Jericho,city of the moon.
Jermael,God increases.
Jermaine,brother.
Jerod,descendant.
Jerold,spear ruler.
Jerome,sacred name.
Jeromy,sacred name.
Jeron,holy.
Jerrell,strong.
Jerrod,descendant.
Jerrol,spear ruler.
Jerrot,brave.
Jerry,ruler with spear.
Jersey,grassy island.
Jerusha,possession.
Jervis,spear driver.
Jess,God's gift.
Jessa,God beholds.
Jesse,God’s gift.
Jessica,God beholds.
Jessie,wealthy.
Jessika,God beholds.
Jessup,God will increase.
Jester,entertainer.
Jesus,savior.
Jethro,abundance.
Jevan,son of life.
Jevin,joyful.
